# BASELINE: Mali r54p1-12eac0 + the 19 ro.vendor.arm.egl.configs.* buckets.
# Captured 2026-08-27 from hardware in the configuration this tree ships, with
# the functional check passing (WhatsApp camera opens). The previous baseline
# was stock r32p1 (25 configs); r54p1 with the YUV buckets exposes 65.
# Regenerate ONLY from a device whose camera is known good, never from a spec.
# EGL 1.5
# VENDOR  Android
# VERSION 1.5 Android META-EGL
# TOTAL_CONFIGS 65
# IDX   ID  R  G  B  A DEP STN SMP SURFTY RENDTY CONFRM   NATVIS  REC  FBT   ES2   ES3
    0    1  8  8  8  8   0   0   0 0x1405 0x0045 0x0045        1    1    1    ok    ok
    1    2  8  8  8  8  24   0   0 0x1405 0x0045 0x0045        1    1    1    ok    ok
    2    3  8  8  8  8  24   8   0 0x1405 0x0045 0x0045        1    1    1    ok    ok
    3    4  8  8  8  8  24   8   4 0x0405 0x0045 0x0045        1    1    1    ok    ok
    4    5  8  8  8  8  24   8   8 0x0405 0x0045 0x0045        1    1    1    ok    ok
    5    6  8  8  8  8  24   8  16 0x0405 0x0045 0x0045        1    1    1    ok    ok
    6    7  8  8  8  0   0   0   0 0x1405 0x0045 0x0045        2    0    0    ok    ok
    7    8  8  8  8  0   0   0   4 0x0405 0x0045 0x0045        2    0    0    ok    ok
    8    9  8  8  8  0  24   8   0 0x1405 0x0045 0x0045        2    0    0    ok    ok
    9   10  8  8  8  0  24   8   4 0x0405 0x0045 0x0045        2    0    0    ok    ok
   10   11  8  8  8  0  24   8   8 0x0405 0x0045 0x0045        2    0    0    ok    ok
   11   12  8  8  8  0  24   8  16 0x0405 0x0045 0x0045        2    0    0    ok    ok
   12   13  5  6  5  0   0   0   0 0x1405 0x0045 0x0045        4    0    0    ok    ok
   13   14  5  6  5  0  24   0   0 0x1405 0x0045 0x0045        4    0    0    ok    ok
   14   15  5  6  5  0  24   8   0 0x1405 0x0045 0x0045        4    0    0    ok    ok
   15   16  5  6  5  0  24   8   4 0x0405 0x0045 0x0045        4    0    0    ok    ok
   16   17  5  6  5  0  24   8   8 0x0405 0x0045 0x0045        4    0    0    ok    ok
   17   18  5  6  5  0  24   8  16 0x0405 0x0045 0x0045        4    0    0    ok    ok
   18   19 10 10 10  2  24   8   0 0x1405 0x0045 0x0044       43    0    0    ok    ok
   19   20 16 16 16 16  24   8   0 0x1405 0x0045 0x0044       22    0    0    ok    ok
   20   21  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      514    1    0    ok    ok
   21   22  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      514    1    0    ok    ok
   22   23  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      514    1    0    ok    ok
   23   24  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      514    1    0    ok    ok
   24   25  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      514    1    0    ok    ok
   25   26  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      514    1    0    ok    ok
   26   27  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      512    1    0    ok    ok
   27   28  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      512    1    0    ok    ok
   28   29  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      512    1    0    ok    ok
   29   30  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      512    1    0    ok    ok
   30   31  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      512    1    0    ok    ok
   31   32  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      512    1    0    ok    ok
   32   33  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      513    1    0    ok    ok
   33   34  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      513    1    0    ok    ok
   34   35  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      513    1    0    ok    ok
   35   36  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      513    1    0    ok    ok
   36   37  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      513    1    0    ok    ok
   37   38  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      513    1    0    ok    ok
   38   39  0  0  0  0   0   0   0 0x0004 0x0044 0x0044       16    1    0    ok    ok
   39   40  0  0  0  0   0   0   0 0x0004 0x0044 0x0044       16    1    0    ok    ok
   40   41  0  0  0  0   0   0   0 0x0004 0x0044 0x0044       16    1    0    ok    ok
   41   42  0  0  0  0   0   0   0 0x0004 0x0044 0x0044       16    1    0    ok    ok
   42   43  0  0  0  0   0   0   0 0x0004 0x0044 0x0044       16    1    0    ok    ok
   43   44  0  0  0  0   0   0   0 0x0004 0x0044 0x0044       16    1    0    ok    ok
   44   45  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      520    1    0    ok    ok
   45   46  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      520    1    0    ok    ok
   46   47  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      520    1    0    ok    ok
   47   48  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      520    1    0    ok    ok
   48   49  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      520    1    0    ok    ok
   49   50  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      520    1    0    ok    ok
   50   51  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      526    1    0    ok    ok
   51   52  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      526    1    0    ok    ok
   52   53  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      526    1    0    ok    ok
   53   54  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      526    1    0    ok    ok
   54   55  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      526    1    0    ok    ok
   55   56  0  0  0  0   0   0   0 0x0004 0x0044 0x0044      526    1    0    ok    ok
   56   57  0  0  0  2   0   0   0 0x0004 0x0044 0x0044      519    1    0    ok    ok
